REPORTE DESCONSOLIDACION / PROVISION,,,,,,,,,,,,,,ARRIBO,,PROVISION,FACTURACIÓN,
"FECHA DE DES-
CONSOLIDACION",ME,LINEA,CODIGO EMBALAJE,USO/MARCHAMO,OPERATIVO,OT,CLIENTE,B/L HOUSE,B/L MASTER,NUMERO CNTR.,TOTAL DE CONTENEDORES,NAVIERA,BARCO,ETA BARCO,ETA CONFIRMADA,FECHA DE PROVISION,NUMERO DE DTE,FECHA DE FACTURA
13/03/2025,154,124/1,CT,24,ALBERTO,24OT3526,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNNGB25SE011056,MEDUOY266597,MSDU4491788,1,MSC,"MSC SOMYA III LO507A

",21/03/2025,22/03/2025,31/03/2025,,
13/03/2025,154,125/1,CT,24,ALBERTO,24OT3045,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNSHA24SE120197,MEDUYP123498,TGHU4813351,1,MSC,"MSC SOMYA III LO507A

",21/03/2025,22/03/2025,25/03/2025,,
13/03/2025,154,126/1,PK,23,JOSELYNE,24OT3380,"UNION COMERCIAL DE EL SALVADOR, S.A. DE C.V.",SYNCAN25SE010089,MEDUYD035612,FFAU3772865,1,MSC,"MSC SOMYA III LO507A

",21/03/2025,22/03/2025,25/03/2025,,
26/03/2025,13,18/1,VN,23,MARCELA,25OT736,"AUTOMAX, S.A. DE C.V.",MB00256,KKLUJPN612596,N/A,5,K-KLINE,GRAVITY HIGHWAY 76,25/03/2025,25/03/2025,N/A,,
31/03/2025,13,14/1,VN,23,MARCELA,25OT750,"DISTRIBUIDORA DE AUTOMOVILES, S.A. DE C.V.",MB00255,KKLUJPN612773,N/A,21,K-KLINE,GRAVITY HIGHWAY 76,25/03/2025,25/03/2025,N/A,,
2/04/2025,142,3/1,VN,23,MARCELA,25OT618,"DISTRIBUIDORA DE AUTOMOVILES, S.A. DE C.V.",MB00252,KKLUJPN612343,N/A,N/A,K-KLINE,GRAVITY HIGHWAY 76,25/03/2025,12/04/2025,N/A,,
25/04/2025,214,40/1,CT,23,ERNESTO,25OT111,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA25SE012012,COSU6407638130,DFSU4205764,1,COSCO,MIA SCHULTE 132S,28/03/2025,25/04/2025,30/04/2025,,
27/03/2025,172,18/1,PK,23,JOSELYNE,25OT268,"ALVAREZ FERRUFINO, LUIS ALFREDO",2412Q001397,CHN1847144,CMAU9511500,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,21/1,CT,23,MARCELA,24OT3175,"MARIO'S AUTO PARTS, S.A. DE C.V.",SYNSHA24SE121011,CHN1860385,CMAU5934273,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,51/1,CT,24,ALBERTO,24OT3338,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNSHA24SE122044,CHN1899830,CMAU4861980,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
27/03/2025,172,56/1,CT,23,REBECA,24OT3247,"CORBES, S.A DE C.V",SYNSHA24SE122357,CHN1912394,TCLU3970613,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
27/03/2025,172,57/1,PK,23,CELINA,24OT3172,"INDUSTRIAS CONSOLIDADAS, LTDA. DE C.V.",SYNSHA24SE122358,CHN1912478,TCLU3354080,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
27/03/2025,172,59/1,PK,23,JOSELYNE,25OT265,"INNOVACIONES DE CENTROAMERICA, S.A. DE C.V.",NBO24120155,CHN1913654,CMAU9291283,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,60/1,PX,23,INGRID,24OT3416,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA24SE122410,CHN1915783,"CAAU5980062, SEKU6058338",2,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,65/1,CT,23,MARCELA,24OT3344,"TECNOVIDRI, S.A. DE C.V.",SYNSHA25SE010354,CHN1928311,APZU4799770,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,68/1,CT,23,INGRID,24OT3473,"PARTS PLUS, S.A. DE C.V.",SYNSHA25SE010553,CHN1937419,BEAU4072449,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,69/1,PX,23,INGRID,24OT3483,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA25SE010550,CHN1938197,GAOU6073200,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,74/1,CT,23,INGRID,24OT3496,"SERVITEK, S.A. DE C.V.",SYNSHA25SE010974,CHN1956410,CZZU3614093,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,82/1,CT,24,JOSELYNE,24OT3243,"UNION COMERCIAL DE EL SALVADOR, S.A. DE C.V.",SYNNKG24SE120120,CQH0114983,UETU6355904,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,83/1,CT,24,JOSELYNE,24OT3236,"UNION COMERCIAL DE EL SALVADOR, S.A. DE C.V.",SYNNKG24SE120133,CQH0115018,TCNU2666033,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,98/1,PX,23,INGRID,24OT3074,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNCAN24SE120441,GGZ2398766,TLLU4440621,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,105/1,CT,23,INGRID,24OT2711,"CABRERA AGUIRRE, JOSE TRINIDAD",SYNCAN24SE120469,GGZ2403829,CMAU4681210,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,106/1,CT,24,JOSELYNE,24OT3208,"UNION COMERCIAL DE EL SALVADOR, S.A. DE C.V.",SYNCAN24SE120679,GGZ2404402,TCNU6928569,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,172,114/1,PK,23,JOSELYNE,25OT518,"CIRI EL SALVADOR, S.A. DE C.V.",TSL2412119,GGZ2414111,TRHU5714550,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,173,1/1,PK,23,INGRID,24OT3079,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNHKG24SE120006,HKA2489386,TLLU5776570,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,173,3/1,PK,23,INGRID,24OT3185,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHKG25SE010004,HKA2496024,SEGU4946309,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
27/03/2025,173,10/1,CT,23,NANCY,24OT3285,"DISTRIBUIDORA PAREDES VELA, S.A. DE C.V.",SYNNKG24SE120065,JNG0229091,DFSU1991340,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
28/03/2025,173,50/1,CT,23,INGRID,24OT3192,"INDUSTRIAS FACELA, S.A. DE C.V.",SYNNGB24SE121467,NGP1928458,"CMAU0933103, CMAU1993473",2,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,173,77/1,PK,23,JONATHAN,24OT3253,"TRANSPORTES PESADOS, S.A. DE C.V.",SYNNGB24SE121079,NGP1941340,CMAU3112170,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,173,79/1,PK,23,REBECA,24OT3292,"CORBES, S.A. DE C.V.",SYNNGB25SE010029,NGP1948372,"CMAU9461728, SEKU4315566, CMAU5874364",3,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
28/03/2025,173,80/1,CT,23,REBECA,24OT3294,"CORBES, S.A. DE C.V.",SYNNGB24SE121808,NGP1948380,"TDRU8789427, TCNU6224702, TCNU7735564, SEKU5974784",4,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
28/03/2025,173,81/1,CT,24,MARCELA,24OT3283,"ORIENTAL MOTORS, S.A. DE C.V.",SYNNGB24SE121505,NGP1953197,UETU5521024,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,173,86/1,CT,23,INGRID,24OT3313,"HGB SPORTS, S.A. DE C.V.",SYNNGB24SE122156,NGP1958110,CMAU4394587,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,173,87/1,CT,23,NANCY,24OT3353,"EL KANGURO, S.A. DE C.V.",SYNNGB24SE122155,NGP1963131,TXGU7491630,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
28/03/2025,173,106/1,CT,23,INGRID,24OT3371,"JURO, S.A. DE C.V.",SYNNGB24SE122532,NGP1978343,APHU7184652,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,173,107/1,CT,23,REBECA,24OT3297,"CORBES, S.A. DE C.V.",SYNNGB25SE010027,NGP1982641,TTNU1150390,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
28/03/2025,173,110/1,PK,23,REBECA,24OT3296,"CORBES, S.A. DE C.V.",SYNNGB25SE010290,NGP1993946,"CMAU9409484, GVTU5020152, CMAU4332857",3,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
28/03/2025,173,114/1,CT,23,NANCY,24OT3347,"AQUA MARKET, S.A. DE C.V.",SYNNGB25SE010665,NGP2013921,UETU7186943,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
28/03/2025,173,115/1,PK,23,INGRID,24OT3502,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNNGB25SE010732,NGP2017316,TCNU1218137,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,173,116/1,CT,23,INGRID,24OT3504,"CORPORACION MERCANTIL SALVADOREÑA, S.A. DE C.V.",SYNNGB25SE010737,NGP2017319,TXGU8783087,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,173,119/1,PK,23,INGRID,24OT3428,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNNGB25SE011063,NGP2032464,MAGU5695327 TCLU1897534,2,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,173,120/1,PK,23,INGRID,24OT3383,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNNGB25SE011065,NGP2032480,UETU7189773,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,8/1,BG,23,MARCELA,24OT2994,"QUIMICAS CONSOLIDADAS, S.A. DE C.V.",SYNTAO24SE110678,QGD1432448,"TGHU1417784, GESU1114635, FCIU2931424",3,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,39/1,PK,23,JOSELYNE,25OT107,"ILO INVERSIONES, S.A. DE C.V.",2412Q004092,QGD1468114,CMAU6117262,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,40/1,PK,23,ERNESTO,25OT266,"GLOBAL TIRE XPRESS, S.A. DE C.V.",2412Q002134,QGD1468140,BMOU6986915,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,92/1,CT,23,INGRID,24OT3458,"INDUSTRIAS FACELA, S.A. DE C.V.",SYNTAO25SE010074,QGD1538200,CMAU9142870,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,93/1,CT,23,CELINA,24OT3494,"ALMACENES SIMAN, S.A DE C.V",SYNTAO25SE010131,QGD1538213,CMAU8544520,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
28/03/2025,174,94/1,CT,23,CELINA,24OT3495,"ALMACENES SIMAN, S.A DE C.V",SYNTAO25SE010132,QGD1538244,CMAU5618104,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
28/03/2025,174,100/1,UN,24,ERNESTO,24OT2730,"CONSORCIO AUTOMOTRIZ, S.A. DE C.V.",SYNTAO25SE010075,QGD1557856,"CMAU3849418, SEKU5507310, TCNU3615766, TGHU9462291, TLLU7689238",5,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,101/1,PK,23,INGRID,24OT3324,"CENTRO DE SERVICIOS DOÑO, S.A. DE C.V.",SYNTAO25SE010196,QGD1558479,SEKU6375040,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,105/1,CT,23,CELINA,24OT3522,"ALMACENES SIMAN, S.A DE C.V",SYNTAO25SE010918,QGD1566692,CAIU9682916,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
28/03/2025,174,106/1,CT,23,INGRID,24OT3573,"TECNISPICE, S.A. DE C.V.",SYNTAO25SE010452,QGD1566754,APHU7229280,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,107/1,PK,23,INGRID,25OT57,JOSE TRINIDAD CABRERA AGUIRRE,SYNTAO25SE010660,QGD1570861,BMOU4328556 CMAU4567949,2,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,109/1,PK,23,NANCY,25OT227,"REPUESTOS DIDEA, S.A. DE C.V.",SYNTAO25SE010959,QGD1584911,SEGU5266420,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
28/03/2025,174,113/1,CT,23,INGRID,25OT24,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",PDES00100220,SEL1843389,TCLU1755078,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,114/1,PK,23,ERNESTO,25OT452,"AMERICAN IMPORTS, S.A. DE C.V.",PDES00100224,SEL1858001,CMAU3133742,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
28/03/2025,174,119/1,CT,24,ALBERTO,24OT3159,INTRALOGIX S.A. DE C.V/CATCO CORP,SAQJ2412J0178,SGN2493852,TRHU6503228,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
29/03/2025,176,8/1,CT,23,ERNESTO,25OT486,"BELLA HOGAR, S.A. DE C.V.",2412Q001478,TJN0546291,TRHU8465148,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,27/03/2025,,
29/03/2025,176,18/1,PK,23,INGRID,24OT3321,"JURO, S.A. DE C.V.",SYNTSN24SE120537,TJN0556262,SEGU6198628,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
29/03/2025,176,20/1,CT,23,CELINA,24OT3302,"ALMACENES SIMAN, S.A DE C.V",SYNTSN24SE120566,TJN0557062,APHU7262879,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
29/03/2025,176,26/1,CT,23,NANCY,24OT3418,"EL KANGURO, S.A. DE C.V.",SYNTSN24SE120713,TJN0562110,CMAU3615596,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
29/03/2025,176,27/1,CT,23,MARCELA,24OT3399,"ALPINA, LTDA. DE C.V.",SYNTSN24SE120729,TJN0562535,"TCNU2473097, ECMU4942847",2,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
29/03/2025,176,29/1,BG,23,INGRID,24OT3493,"TECNISPICE, S.A. DE C.V.",SYNTSN25SE010112,TJN0565621,TLLU7588090,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
29/03/2025,176,30/1,CT,23,NANCY,24OT3508,"JOSE N BATARSE, S.A. DE C.V.",2501Q001080,TJN0566844,BEAU2886739,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
29/03/2025,176,31/1,CT,24,ALBERTO,24OT3532,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNTSN25SE010181,TJN0568455,TXGU8559170,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
29/03/2025,176,32/1,CT,24,ALBERTO,24OT3531,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNTSN25SE010182,TJN0568461,FFAU4813399,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
29/03/2025,176,38/1,CT,23,INGRID,24OT3559,"HENRIQUEZ, S.A. DE C.V.",SYNTSN25SE010269,TJN0570936,BMOU1024230,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
29/03/2025,176,39/1,CT,23,INGRID,25OT17,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNTSN25SE010286,TJN0571737,TXGU4024518,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
29/03/2025,176,42/1,CT,23,MARCELA,25OT14,"ALMACENES BOU, S.A. DE C.V.",SYNTSN25SE010350,TJN0573937,TCLU5123665,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
29/03/2025,176,43/1,CS,23,CELINA,24OT3576,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNTSN25SE010402,TJN0575119,"TLLU3113218, TRHU3527870",2,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
1/04/2025,176,44/1,CS,23,CELINA,25OT241,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNTSN25SE010415,TJN0575808,"MAGU2451179, FCGU2252637, TRHU2932501, CAIU2380940",4,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
1/04/2025,176,45/1,PK,23,MARCELA,25OT12,"ALMACENES BOU, S.A. DE C.V.",SYNTSN25SE010416,TJN0575879,CMAU2810068,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
1/04/2025,176,46/1,CT,24,ALBERTO,25OT187,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNTSN25SE010571,TJN0578580,TXGU8842889,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
1/04/2025,176,47/1,PK,23,REBECA,25OT346,"CORBES, S.A. DE C.V.",SYNTSN25SE010613,TJN0579521,TCNU7583604,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
31/03/2025,176,53/1,CT,23,INGRID,24OT2955,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA24SE111588,TWN0917333,APZU4787378,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
31/03/2025,176,55/1,PK,23,MARCELA,24OT3102,"MARIO'S AUTO PARTS, S.A. DE C.V.",SYNSHA24SE120490,TWN0920361,BEAU4079952,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
31/03/2025,176,58/1,CT,23,REBECA,24OT3298,"CORBES, S.A. DE C.V.",SYNSHA24SE121488,TWN0924536,GIPU4364824,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
31/03/2025,176,62/1,CT,23,INGRID,24OT3357,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA24SE122241,TWN0925711,TCNU2943436,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
31/03/2025,176,78/1,CT,23,MARCELA,24OT3354,"MARIO'S AUTO PARTS, S.A. DE C.V.",SYNXMN25SE010003,XIA1523855,CMAU3889853,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
31/03/2025,176,79/1,CT,23,MARCELA,24OT3355,"MARIO'S AUTO PARTS, S.A. DE C.V.",SYNXMN25SE010002,XIA1523861,TGBU4142441,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
31/03/2025,176,91/1,CT,23,NANCY,24OT3142,"EL KANGURO, S.A. DE C.V.",SYNCAN24SE120252,ZSN0703430,"GESU6180033, TCLU1670005, TCNU5806186, TEMU6111820",4,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
01/04/2025,176,93/1,CT,23,CELINA,24OT3167,"ALMACENES SIMAN, S.A DE C.V",SYNCAN24SE120440,ZSN0703966,CMAU4573941,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
31/03/2025,176,103/1,CT,23,NANCY,24OT2963,"COOPER GROUP, S.A. DE C.V.",SYNCAN24SE120710,ZSN0708841,TCLU9451533,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
31/03/2025,176,104/1,CT,23,NANCY,24OT2964,"COOPER GROUP, S.A. DE C.V.",SYNCAN24SE120711,ZSN0708845,CMAU5921810,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
31/03/2025,176,105/1,CT,23,NANCY,24OT2965,"COOPER GROUP, S.A. DE C.V.",SYNCAN24SE120712,ZSN0708848,TRLU7035990,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
31/03/2025,176,106/1,CT,23,NANCY,24OT2966,"COOPER GROUP, S.A. DE C.V.",SYNCAN24SE120713,ZSN0708849,TCNU4707872,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,3/04/2025,,
31/03/2025,175,37/1,CT,24,ALBERTO,24OT3168,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNCAN24SE120442,SHZ6890991,CMAU4811839,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
31/03/2025,175,51/1,CT,24,ALBERTO,24OT3218,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNCAN24SE120467,SHZ6904596,CMAU5392059,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,21/04/2025,,
31/03/2025,175,52/1,CT,24,ALBERTO,24OT3219,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNCAN24SE120468,SHZ6904618,TTNU1000976,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,1/04/2025,,
1/04/2025,175,61/1,CT,23,INGRID,24OT3310,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNCAN24SE120708,SHZ6926834,APHU7281586 TXGU8818769,2,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
1/04/2025,175,76/1,CT,23,CELINA,24OT3333,"FREUND DE EL SALVADOR, LTDA DE C.V",SYNCAN24SE120709,SHZ6931585,TRHU8950858,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
1/04/2025,175,93/1,PK,23,JOSELYNE,24OT3514,"UNION COMERCIAL DE EL SALVADOR, S.A. DE C.V.",SYNCAN25SE010160,SHZ6951013,SEKU5520740,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
1/04/2025,175,101/1,CT,23,INGRID,24OT3439,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNCAN25SE010159,SHZ6984708,APHU7000396,1,CMA CGM,MAGDALENA SCHULTE 0UC0BS1MA,3/04/2025,14/04/2025,2/04/2025,,
22/03/2025,162,110/1,PK,23,NANCY,25OT351,OUTLANDER GROUP,SYNCAN25SE020179,249542627,MRKU5792429,1,MAERSK,SEALAND BALBOA 511S,9/04/2025,5/04/2025,25/03/2025,,
22/03/2025,162,115,PX,23,NANCY,25OT465,REPUESTOS DIDEA,PDES00100221,249694512,"MRKU9044934, MRSU0545579",2,MAERSK,SEALAND BALBOA 511S,9/04/2025,5/04/2025,25/03/2025,,
22/03/2025,161,80/1,PK,23,JOSELYNE,25OT797,B. BRAUN MEDICAL CENTRAL AMERICA CARIBE,DEBER2131511,249331703,"MNBU3080277
MNBU0348216",2,MAERSK,SEALAND BALBOA 511S,9/04/2025,5/04/2025,31/03/2025,,
9/04/2025,197,2/1,CT,23,INGRID,25OT141,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",WSLPGU2501029,AYN1209518,CMAU0226287,1,CMA CGM,THEODOR 0MV3NR1MA,9/04/2025,9/04/2025,15/04/2025,,
9/04/2025,197,3/1,PK,23,INGRID,25OT340,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",WSLPGU2502044,AYN1212283,TCNU7939125,1,CMA CGM,THEODOR 0MV3NR1MA,9/04/2025,9/04/2025,15/04/2025,,
9/04/2025,197,4/1,PK,23,INGRID,25OT180,"GRUPO AIRES, S.A. DE C.V.",WSLPKG2502047,AYN1212623,CMAU9163976,1,CMA CGM,THEODOR 0MV3NR1MA,9/04/2025,9/04/2025,15/04/2025,,
